"date","mrt_last","yrmo"
2012-06-29,543,"2012-06"
2012-09-28,596,"2012-09"
2012-12-31,581,"2012-12"
2013-03-29,532,"2013-03"
2013-06-28,572,"2013-06"
2013-09-30,450,"2013-09"
2013-12-31,358,"2013-12"
2014-03-31,251,"2014-03"
2014-06-30,348,"2014-06"
2014-09-30,374,"2014-09"
2014-12-31,327,"2014-12"
2015-03-31,397,"2015-03"
2015-06-30,511,"2015-06"
2015-09-30,438,"2015-09"
2015-12-31,384,"2015-12"
2016-03-31,376,"2016-03"
2016-06-30,521,"2016-06"
2016-09-30,589,"2016-09"
2016-12-30,565,"2016-12"
2017-03-31,403,"2017-03"
2017-06-30,492,"2017-06"
2017-09-29,477,"2017-09"
2017-12-29,455,"2017-12"
2018-03-30,410,"2018-03"
2018-06-29,508,"2018-06"
2018-09-28,465,"2018-09"
2018-12-31,383,"2018-12"
2019-03-29,359,"2019-03"
2019-06-28,581,"2019-06"
2019-09-30,752,"2019-09"
2019-12-31,770,"2019-12"
2020-03-31,736,"2020-03"
2020-06-30,1069,"2020-06"
2020-09-30,1287,"2020-09"
2020-12-31,1282,"2020-12"
2021-03-31,1297,"2021-03"
2021-06-30,1145,"2021-06"
2021-09-30,1122,"2021-09"
2021-12-31,1007,"2021-12"
2022-03-31,754,"2022-03"
2022-06-30,668,"2022-06"
2022-09-30,544,"2022-09"
2022-12-30,408,"2022-12"
2023-03-31,323,"2023-03"
2023-06-30,421,"2023-06"
2023-09-29,397,"2023-09"
2023-12-29,329,"2023-12"
2024-03-29,329,"2024-03"
2024-06-28,463,"2024-06"
2024-09-30,497,"2024-09"
2024-12-31,442,"2024-12"
2025-03-31,402,"2025-03"
2025-06-30,575,"2025-06"
2025-09-30,582,"2025-09"
2025-12-31,518,"2025-12"
