date,rate
12/31/2025,6.6
9/30/2025,6.7
6/30/2025,6.8
3/31/2025,6.9
12/31/2024,7
9/30/2024,7.1
6/28/2024,7.1
3/29/2024,6.7
12/29/2023,7.3
9/29/2023,7
6/30/2023,6.5
3/31/2023,6.4
12/30/2022,6.7
9/30/2022,5.6
6/30/2022,5.2
3/31/2022,3.8
12/31/2021,3.1
9/30/2021,2.9
6/30/2021,3
3/31/2021,2.9
12/31/2020,2.8
9/30/2020,3
6/30/2020,3.2
3/31/2020,3.5
12/31/2019,3.7
9/30/2019,3.7
6/28/2019,4
3/29/2019,4.4
12/31/2018,4.8
9/28/2018,4.6
6/29/2018,4.5
3/30/2018,4.3
12/29/2017,3.9
9/29/2017,3.9
6/30/2017,4
3/31/2017,4.2
12/30/2016,3.8
9/30/2016,3.4
6/30/2016,3.6
3/31/2016,3.7
12/31/2015,3.9
9/30/2015,4
6/30/2015,3.8
3/31/2015,3.7
12/31/2014,4
9/30/2014,4.1
6/30/2014,4.2
3/31/2014,4.4
12/31/2013,4.3
9/30/2013,4.4
6/28/2013,3.7
3/29/2013,3.5
12/31/2012,3.4
9/28/2012,3.5
6/29/2012,3.8
